,id,datetime,obs_dt,phone_number,arrival_hydrophone,relative_depth,depth,max_amp,second_hydrophone,t1,t2,origin_time
0,0,18084.364096689806,2019-07-07T08:44:18.016999Z,3,h3,-1.7499999999999858,168.25,0.44094611677332773,h4,0.198,0.24,2019-07-07T08:44:18.017999Z
1,1,18084.36461031249,2019-07-07T08:45:02.184999Z,3,h3,-19.25,150.75,0.5236462976325305,h4,0.187,0.249,2019-07-07T08:45:02.195999Z
2,2,18084.36499261573,2019-07-07T08:45:35.181999Z,3,h3,-17.5,152.5,0.35250091190303967,h4,0.2,0.26,2019-07-07T08:45:35.191999Z
3,3,18084.365571168968,2019-07-07T08:46:25.191999Z,3,h3,-2.624999999999986,167.375,0.5870534193452901,h4,0.197,0.24,2019-07-07T08:46:25.193499Z
4,4,18084.365625243045,2019-07-07T08:46:29.864999Z,3,h3,3.500000000000007,173.5,0.4243161924582677,h4,0.111,0.147,2019-07-07T08:46:29.862999Z
5,5,18084.365708877303,2019-07-07T08:46:37.067999Z,3,h3,-1.7499999999999858,168.25,0.3760167305382458,h4,0.198,0.24,2019-07-07T08:46:37.068999Z
6,6,18084.36572409721,2019-07-07T08:46:38.404999Z,3,h3,125.12500000000001,295.125,0.3456781800331994,h4,0.198,0.095,2019-07-07T08:46:38.333499Z
7,7,18084.365888506934,2019-07-07T08:46:52.610999Z,3,h3,1.4210854715202004e-14,170.0,0.5809121343533252,h4,0.2,0.24,2019-07-07T08:46:52.610999Z
8,8,18084.365928854153,2019-07-07T08:46:56.097999Z,3,h3,-1.7499999999999858,168.25,0.621372012312045,h4,0.198,0.24,2019-07-07T08:46:56.098999Z
9,9,18084.365955821748,2019-07-07T08:46:58.428999Z,3,h3,1.4210854715202004e-14,170.0,1.071294203465297,h4,0.198,0.238,2019-07-07T08:46:58.428999Z
10,10,18084.36673215277,2019-07-07T08:48:05.479999Z,3,h3,-0.8749999999999858,169.125,0.3584750986045564,h4,0.197,0.238,2019-07-07T08:48:05.480499Z
11,11,18084.3667776736,2019-07-07T08:48:09.446999Z,3,h3,-7.105427357601002e-15,170.0,0.41773156577690923,h4,0.187,0.227,2019-07-07T08:48:09.446999Z
12,12,18084.366827210633,2019-07-07T08:48:13.717999Z,3,h3,1.4210854715202004e-14,170.0,0.5168223231214131,h4,0.198,0.238,2019-07-07T08:48:13.717999Z
13,13,18084.366827210637,2019-07-07T08:48:13.848999Z,3,h3,7.105427357601002e-15,170.0,0.5168223231214131,h4,0.067,0.107,2019-07-07T08:48:13.848999Z
14,14,18084.36689526619,2019-07-07T08:48:19.595999Z,3,h3,-18.374999999999986,151.625,0.635770413415636,h4,0.116,0.177,2019-07-07T08:48:19.606499Z
15,15,18084.366909224525,2019-07-07T08:48:20.779999Z,3,h3,-16.625,153.375,0.5001624845165614,h4,0.047,0.106,2019-07-07T08:48:20.789499Z
16,16,18084.36691745369,2019-07-07T08:48:21.510999Z,3,h3,-16.625000000000007,153.375,0.561075542435506,h4,0.076,0.135,2019-07-07T08:48:21.520499Z
17,17,18084.366932118046,2019-07-07T08:48:22.777999Z,3,h3,-2.624999999999986,167.375,0.629809542455718,h4,0.197,0.24,2019-07-07T08:48:22.779499Z
18,18,18084.366939560172,2019-07-07T08:48:23.422999Z,3,h3,1.4210854715202004e-14,170.0,0.41711357581237657,h4,0.198,0.238,2019-07-07T08:48:23.422999Z
19,19,18084.366939560176,2019-07-07T08:48:23.666999Z,3,h3,-49.875,120.125,0.503568828748572,h4,0.134,0.231,2019-07-07T08:48:23.695499Z
20,20,18084.366969537026,2019-07-07T08:48:25.989999Z,3,h3,0.8750000000000213,170.87500000000003,0.4326579846937961,h4,0.199,0.238,2019-07-07T08:48:25.989499Z
