,Unnamed: 0,id,datetime,obs_dt,phone_number,arrival_hydrophone,relative_depth,depth,max_amp,second_hydrophone,t1,t2,origin_time,t,ct
0,0,0,18084.36409668981,2019-07-07T08:44:18.016999Z,3,h3,-1.7499999999999858,168.25,0.4409461167733277,h4,0.198,0.24,2019-07-07 08:44:18.017999+00:00,0.0,0.0
1,1,1,18084.36461031249,2019-07-07T08:45:02.184999Z,3,h3,-19.25,150.75,0.5236462976325305,h4,0.187,0.249,2019-07-07 08:45:02.195999+00:00,44.178,44.178
2,2,2,18084.36499261573,2019-07-07T08:45:35.181999Z,3,h3,-17.5,152.5,0.3525009119030396,h4,0.2,0.26,2019-07-07 08:45:35.191999+00:00,32.996,77.174
3,3,3,18084.365571168968,2019-07-07T08:46:25.191999Z,3,h3,-2.624999999999986,167.375,0.5870534193452901,h4,0.197,0.24,2019-07-07 08:46:25.193499+00:00,50.0015,127.1755
4,4,4,18084.365625243045,2019-07-07T08:46:29.864999Z,3,h3,3.500000000000007,173.5,0.4243161924582677,h4,0.111,0.147,2019-07-07 08:46:29.862999+00:00,4.6695,131.845
5,5,5,18084.365708877303,2019-07-07T08:46:37.067999Z,3,h3,-1.7499999999999858,168.25,0.3760167305382458,h4,0.198,0.24,2019-07-07 08:46:37.068999+00:00,7.206,139.051
6,6,6,18084.36572409721,2019-07-07T08:46:38.404999Z,3,h3,125.125,295.125,0.3456781800331994,h4,0.198,0.095,2019-07-07 08:46:38.333499+00:00,1.2645,140.3155
7,7,7,18084.36588850693,2019-07-07T08:46:52.610999Z,3,h3,1.4210854715202004e-14,170.0,0.5809121343533252,h4,0.2,0.24,2019-07-07 08:46:52.610999+00:00,14.2775,154.593
8,8,8,18084.365928854157,2019-07-07T08:46:56.097999Z,3,h3,-1.7499999999999858,168.25,0.621372012312045,h4,0.198,0.24,2019-07-07 08:46:56.098999+00:00,3.488,158.081
9,9,9,18084.365955821748,2019-07-07T08:46:58.428999Z,3,h3,1.4210854715202004e-14,170.0,1.071294203465297,h4,0.198,0.238,2019-07-07 08:46:58.428999+00:00,2.33,160.411
10,10,10,18084.36673215277,2019-07-07T08:48:05.479999Z,3,h3,-0.8749999999999858,169.125,0.3584750986045564,h4,0.197,0.238,2019-07-07 08:48:05.480499+00:00,67.0515,227.4625
11,11,11,18084.3667776736,2019-07-07T08:48:09.446999Z,3,h3,-7.105427357601002e-15,170.0,0.4177315657769092,h4,0.187,0.227,2019-07-07 08:48:09.446999+00:00,3.9665,231.429
12,12,12,18084.366827210637,2019-07-07T08:48:13.717999Z,3,h3,1.4210854715202004e-14,170.0,0.5168223231214131,h4,0.198,0.238,2019-07-07 08:48:13.717999+00:00,4.271,235.7
13,13,13,18084.36682721064,2019-07-07T08:48:13.848999Z,3,h3,7.105427357601002e-15,170.0,0.5168223231214131,h4,0.067,0.107,2019-07-07 08:48:13.848999+00:00,0.131,235.831
14,14,14,18084.36689526619,2019-07-07T08:48:19.595999Z,3,h3,-18.374999999999982,151.625,0.635770413415636,h4,0.116,0.177,2019-07-07 08:48:19.606499+00:00,5.7575,241.58849999999998
15,15,15,18084.366909224525,2019-07-07T08:48:20.779999Z,3,h3,-16.625,153.375,0.5001624845165614,h4,0.047,0.106,2019-07-07 08:48:20.789499+00:00,1.183,242.77149999999997
16,16,16,18084.36691745369,2019-07-07T08:48:21.510999Z,3,h3,-16.625000000000007,153.375,0.561075542435506,h4,0.076,0.135,2019-07-07 08:48:21.520499+00:00,0.731,243.50249999999997
17,17,17,18084.36693211805,2019-07-07T08:48:22.777999Z,3,h3,-2.624999999999986,167.375,0.629809542455718,h4,0.197,0.24,2019-07-07 08:48:22.779499+00:00,1.259,244.76149999999996
18,18,18,18084.36693956017,2019-07-07T08:48:23.422999Z,3,h3,1.4210854715202004e-14,170.0,0.4171135758123765,h4,0.198,0.238,2019-07-07 08:48:23.422999+00:00,0.6435,245.40499999999994
20,20,20,18084.366969537023,2019-07-07T08:48:25.989999Z,3,h3,0.8750000000000213,170.87500000000003,0.4326579846937961,h4,0.199,0.238,2019-07-07 08:48:25.989499+00:00,2.294,247.97149999999996
22,22,22,18084.3669864236,2019-07-07T08:48:27.471999Z,3,h3,1.4210854715202004e-14,170.0,0.5205428649960835,h4,0.198,0.238,2019-07-07 08:48:27.471999+00:00,0.763,249.45399999999998
23,23,23,18084.3669995023,2019-07-07T08:48:28.601999Z,3,h3,-1.7499999999999858,168.25,0.672498132471391,h4,0.197,0.239,2019-07-07 08:48:28.602999+00:00,1.131,250.58499999999998
24,24,24,18084.367003622672,2019-07-07T08:48:28.957999Z,3,h3,12.250000000000004,182.25,0.5043084997981909,h4,0.093,0.119,2019-07-07 08:48:28.950999+00:00,0.348,250.933
25,25,25,18084.36707777777,2019-07-07T08:48:35.364999Z,3,h3,-17.5,152.5,0.4965073493825775,h4,0.198,0.258,2019-07-07 08:48:35.374999+00:00,6.424,257.35699999999997
26,26,26,18084.36707777777,2019-07-07T08:48:35.446999Z,3,h3,-0.8749999999999929,169.125,0.4965073493825775,h4,0.115,0.156,2019-07-07 08:48:35.447499+00:00,0.0725,257.42949999999996
27,27,27,18084.367081759247,2019-07-07T08:48:35.686999Z,3,h3,1.4210854715202004e-14,170.0,0.7242922897922595,h4,0.198,0.238,2019-07-07 08:48:35.686999+00:00,0.2395,257.669
28,28,28,18084.3671079398,2019-07-07T08:48:37.970999Z,3,h3,1.4210854715202004e-14,170.0,0.4846392863729579,h4,0.198,0.238,2019-07-07 08:48:37.970999+00:00,2.284,259.953
29,29,29,18084.367114733785,2019-07-07T08:48:38.557999Z,3,h3,1.4210854715202004e-14,170.0,0.6813580419115828,h4,0.198,0.238,2019-07-07 08:48:38.557999+00:00,0.587,260.53999999999996
31,31,31,18084.367130162023,2019-07-07T08:48:39.868998Z,3,h3,-0.8750000000000071,169.125,0.4007568069009005,h4,0.151,0.192,2019-07-07 08:48:39.869498+00:00,0.903999,261.851499
32,32,32,18084.3671454398,2019-07-07T08:48:41.188999Z,3,h3,1.4210854715202004e-14,170.0,0.7419406290062601,h4,0.198,0.238,2019-07-07 08:48:41.188999+00:00,1.319501,263.171
