,id,t3,t4,t5,t6,first_hydrophone,second_hydrophone,relative_depth,depth,picking_method,dt,dt_pick_method,max_amp,origin_time
6,6,18107.9412417824,18107.94123775462,18107.9412417824,18107.94123627314,2,3,70.0,170.0,3,0.04,1,0.49817092406259306,2019-07-30T22:35:23.249999Z
7,7,18107.94217296295,18107.942173657393,18107.942171921284,18107.942172615727,2,3,0.0,100.0,3,-0.04,-1,0.6457143126360249,2019-07-30T22:36:43.743999Z
8,8,18107.942300671282,18107.942301134244,18107.942301932857,18107.94230259258,2,3,0.0,100.0,3,-0.04,0,0.5244573898429172,2019-07-30T22:36:54.777999Z
9,9,18107.944069513876,18107.944069999987,18107.94407074073,18107.94407130786,2,3,0.0,100.0,3,-0.04,-1,4.447500419929023,2019-07-30T22:39:27.605999Z
10,10,18107.944071157395,18107.944076712953,18107.944076643507,18107.944071273138,2,3,0.0,100.0,3,-0.04,-1,1.5004484257510784,2019-07-30T22:39:27.747999Z
11,11,18107.944081203692,18107.944081921283,18107.9440826736,18107.944083206006,2,3,0.0,100.0,3,-0.04,-1,2.930940934506133,2019-07-30T22:39:28.615999Z
12,12,18107.944092384252,18107.944092858786,18107.94409101851,18107.94409439814,2,3,0.0,100.0,3,-0.04,-1,1.6848776614678682,2019-07-30T22:39:29.582000Z
13,13,18107.944456099525,18107.944456562487,18107.944457997673,18107.944458819435,2,3,0.0,100.0,3,-0.04,0,2.2835307208520224,2019-07-30T22:40:01.006999Z
14,14,18107.94450909721,18107.944509560173,18107.94451031249,18107.944510879617,2,3,0.0,100.0,3,-0.04,0,2.5018779769305204,2019-07-30T22:40:05.585999Z
15,15,18107.944512731472,18107.944512256934,18107.94451394675,18107.944510856472,2,3,70.0,170.0,3,0.04,1,1.6564713194149374,2019-07-30T22:40:05.859999Z
16,16,18107.944629814803,18107.944630277765,18107.94462826388,18107.944631585637,2,3,0.0,100.0,3,-0.04,0,2.0007392260862784,2019-07-30T22:40:16.015999Z
17,17,18107.94475872684,18107.94475940971,18107.944763958323,18107.94475869212,2,3,0.0,100.0,3,-0.04,-1,0.4901153942266873,2019-07-30T22:40:27.153999Z
18,18,18107.9450429861,18107.94504344906,18107.94504417823,18107.94504474536,2,3,0.0,100.0,3,-0.04,0,2.9144058995798,2019-07-30T22:40:51.713999Z
19,19,18107.945053935175,18107.94505241897,18107.94505171295,18107.94505357638,2,3,70.0,170.0,3,0.04,1,1.93883883892616,2019-07-30T22:40:52.619999Z
20,20,18107.945071006936,18107.945071469898,18107.945072199065,18107.94507275462,2,3,0.0,100.0,3,-0.04,0,2.6350062068502265,2019-07-30T22:40:54.134999Z
21,21,18107.945075219897,18107.945078796285,18107.945078819434,18107.945078842582,2,3,0.0,100.0,3,-0.04,-1,0.40192854128624533,2019-07-30T22:40:54.498999Z
22,22,18107.945080821748,18107.945081296286,18107.945079687488,18107.94507949073,2,3,0.0,100.0,3,-0.04,-1,0.8984035643307531,2019-07-30T22:40:54.982999Z
23,23,18107.9457423148,18107.945742800912,18107.945740057858,18107.94574165508,2,3,0.0,100.0,3,-0.04,-1,1.5212232132226247,2019-07-30T22:41:52.135999Z
24,24,18107.94608212962,18107.946082592585,18107.946083159713,18107.94608416666,2,3,0.0,100.0,3,-0.04,0,2.196191818420623,2019-07-30T22:42:21.495999Z
25,25,18107.94608554397,18107.946089004618,18107.946088888875,18107.946083854153,2,3,0.0,100.0,3,-0.04,-1,1.6505356658516381,2019-07-30T22:42:21.790999Z
26,26,18107.946089756933,18107.946090196747,18107.94608755786,18107.94608747684,2,3,1.75,101.75,3,-0.038,0,2.641365835668047,2019-07-30T22:42:22.153999Z
27,27,18107.946329502305,18107.946330069433,18107.94633263888,18107.94632957175,2,3,0.0,100.0,3,-0.04,-1,0.5918694553118127,2019-07-30T22:42:42.868999Z
28,28,18107.946550011562,18107.946550451376,18107.946550925913,18107.94655171295,2,3,1.75,101.75,3,-0.038,0,11.06363426673478,2019-07-30T22:43:01.919999Z
29,29,18107.946552372672,18107.946557129617,18107.946557129617,18107.946557129617,2,3,0.0,100.0,3,-0.04,-1,1.606442239381417,2019-07-30T22:43:02.124999Z
30,30,18107.94655724536,18107.9465576736,18107.94655554397,18107.946557465268,2,3,2.625,102.625,3,-0.037,0,4.188027564161953,2019-07-30T22:43:02.544499Z
31,31,18107.946558749987,18107.946563935173,18107.946563518504,18107.946558912023,2,3,0.0,100.0,3,-0.04,-1,2.8851516070178262,2019-07-30T22:43:02.675999Z
32,32,18107.94688749999,18107.946887962953,18107.946888414343,18107.94688920138,2,3,0.0,100.0,3,-0.04,0,5.8996156666646655,2019-07-30T22:43:31.079999Z
33,33,18107.946894618046,18107.946888935174,18107.946894560173,18107.946888900453,2,3,70.0,170.0,3,0.04,1,2.613383468869637,2019-07-30T22:43:31.654999Z
34,34,18107.946949594898,18107.94695005786,18107.94694796295,18107.94694937499,2,3,0.0,100.0,3,-0.04,0,11.139949812548622,2019-07-30T22:43:36.444999Z
35,35,18107.94695634258,18107.946950624988,18107.946956307856,18107.946950995356,2,3,70.0,170.0,3,0.04,1,3.8106895876379463,2019-07-30T22:43:36.987999Z
36,36,18107.946954907395,18107.946956701377,18107.946960416655,18107.946960416655,2,3,0.0,100.0,3,-0.04,-1,1.688269463504039,2019-07-30T22:43:36.903999Z
37,37,18107.947202662024,18107.947203067117,18107.94720353008,18107.947204050914,2,3,4.3749999999999964,104.375,3,-0.035,0,7.567958293206201,2019-07-30T22:43:58.307499Z
38,38,18107.947205451375,18107.94720401619,18107.947209768507,18107.947209606467,2,3,70.0,170.0,3,0.04,1,1.386823057539355,2019-07-30T22:43:58.510999Z
39,39,18107.94721921295,18107.947219618043,18107.947220081005,18107.94722085647,2,3,4.3749999999999964,104.375,3,-0.035,0,2.616351295651287,2019-07-30T22:43:59.737499Z
40,40,18107.947351898136,18107.947352268508,18107.94735273147,18107.947353506934,2,3,7.0,107.0,3,-0.032,0,16.097068488412315,2019-07-30T22:44:11.199999Z
41,41,18107.94735849536,18107.94735849536,18107.947358460635,18107.94735321758,2,3,35.0,135.0,3,0.0,0,1.2151130794582057,2019-07-30T22:44:11.753999Z
42,42,18107.947369791655,18107.9473701736,18107.94737062499,18107.94736901619,2,3,6.125,106.125,3,-0.033,0,5.868241497830086,2019-07-30T22:44:12.746499Z
43,43,18107.947413113416,18107.947413483787,18107.947413784714,18107.947414351842,2,3,7.0,107.0,3,-0.032,0,4.325819521881393,2019-07-30T22:44:16.488999Z
44,44,18107.947421608784,18107.947421956007,18107.94741987267,18107.947420439803,2,3,8.75,108.75,3,-0.03,0,7.018486363346525,2019-07-30T22:44:17.221999Z
45,45,18107.94742790508,18107.947428252304,18107.947428726842,18107.94742949073,2,3,8.75,108.75,3,-0.03,0,14.15610977321355,2019-07-30T22:44:17.765999Z
46,46,18107.947480509247,18107.947480844894,18107.94748130786,18107.94748182869,2,3,9.625,109.625,3,-0.029,0,11.019116865010037,2019-07-30T22:44:22.310499Z
47,47,18107.94748386573,18107.947484201377,18107.94748732638,18107.94748177082,2,3,9.625,109.625,3,-0.029,0,2.027873642375645,2019-07-30T22:44:22.600499Z
48,48,18107.94749605323,18107.947494085638,18107.947494537028,18107.947495069435,2,3,70.0,170.0,3,0.04,1,4.22152160926914,2019-07-30T22:44:23.618999Z
49,49,18107.947623761564,18107.94762406249,18107.947624537028,18107.94762550925,2,3,12.25,112.25,3,-0.026,0,2.129203728206249,2019-07-30T22:44:34.685999Z
50,50,18107.947627928228,18107.947628229154,18107.947626134246,18107.947626724526,2,3,12.25,112.25,3,-0.026,0,2.8359704774933494,2019-07-30T22:44:35.045999Z
51,51,18107.9476320486,18107.947632349526,18107.947632824063,18107.947633576376,2,3,12.25,112.25,3,-0.026,0,14.87898758217246,2019-07-30T22:44:35.401999Z
52,52,18107.94763722221,18107.947637523135,18107.947637997673,18107.9476385648,2,3,12.25,112.25,3,-0.026,0,8.482048941954243,2019-07-30T22:44:35.848999Z
53,53,18107.947644166656,18107.947644166656,18107.947643344894,18107.947644166656,2,3,35.0,135.0,3,0.0,0,2.236893442854673,2019-07-30T22:44:36.435999Z
54,54,18107.947650636565,18107.947650914342,18107.94765141203,18107.947652141193,2,3,14.0,114.0,3,-0.024,0,4.38093630496917,2019-07-30T22:44:37.006999Z
55,55,18107.947653368043,18107.947655763877,18107.94765622684,18107.947655150452,2,3,0.0,100.0,3,-0.04,-1,4.794312178127492,2019-07-30T22:44:37.250999Z
56,56,18107.947658553232,18107.947660810176,18107.947661284714,18107.947661851842,2,3,0.0,100.0,3,-0.04,-1,2.4107232972084294,2019-07-30T22:44:37.698999Z
57,57,18107.94770093749,18107.94770158564,18107.9477020486,18107.947702800917,2,3,0.0,100.0,3,-0.04,-1,4.163013024145193,2019-07-30T22:44:41.360999Z
58,58,18107.94770843749,18107.947708333322,18107.94770843749,18107.94770839119,2,3,42.875,142.875,3,0.009,0,0.2802476432386162,2019-07-30T22:44:41.984499Z
59,59,18107.947752118045,18107.9477524074,18107.947753020824,18107.9477536111,2,3,13.125,113.125,3,-0.025,0,3.676289431954676,2019-07-30T22:44:45.775499Z
60,60,18107.947759224524,18107.947759479153,18107.947757071746,18107.94775978008,2,3,15.75,115.75,3,-0.022,0,7.178325034301075,2019-07-30T22:44:46.387999Z
61,61,18107.947759201375,18107.947759479153,18107.947759942115,18107.947757824062,2,3,14.0,114.0,3,-0.024,0,7.178325034301075,2019-07-30T22:44:46.386999Z
62,62,18107.94787202545,18107.947872303226,18107.9478729398,18107.947875509246,2,3,14.0,114.0,3,-0.024,0,1.606442239381417,2019-07-30T22:44:56.134999Z
63,63,18107.94787763888,18107.947877893508,18107.94787835647,18107.947878877305,2,3,15.75,115.75,3,-0.022,0,3.2951356781399777,2019-07-30T22:44:56.618999Z
64,64,18107.947884907393,18107.9478851273,18107.94788560184,18107.94788868054,2,3,18.375,118.375,3,-0.019,0,1.2006979208044797,2019-07-30T22:44:57.245499Z
65,65,18107.947928900452,18107.94792914351,18107.94792960647,18107.947928449063,2,3,16.625,116.625,3,-0.021,0,2.6468775139768246,2019-07-30T22:45:01.047499Z
66,66,18107.94796520832,18107.9479654861,18107.947966041655,18107.947966608783,2,3,14.0,114.0,3,-0.024,0,0.3078060347825043,2019-07-30T22:45:04.185999Z
67,67,18107.948014594895,18107.948013935173,18107.948014143505,18107.94801398147,3,4,70.0,240.0,3,0.04,1,1.3346741012332282,2019-07-30T22:45:08.420999Z
68,68,18107.94802499999,18107.94802434027,18107.9480245486,18107.94802576388,3,4,70.0,240.0,3,0.04,1,3.6088773664857805,2019-07-30T22:45:09.319999Z
69,69,18107.94803039351,18107.94802971064,18107.94802991897,18107.94803340277,3,4,70.0,240.0,3,0.04,1,1.3910628100845683,2019-07-30T22:45:09.785999Z
70,70,18107.948034791654,18107.948034108784,18107.948034317116,18107.948035532394,3,4,70.0,240.0,3,0.04,1,9.252411979419549,2019-07-30T22:45:10.165999Z
71,71,18107.94803991897,18107.94803747684,18107.94804295138,18107.948037453694,3,4,70.0,240.0,3,0.04,1,1.254542778128692,2019-07-30T22:45:10.608999Z
72,72,18107.94807378471,18107.948073113414,18107.948073310174,18107.948074502303,3,4,70.0,240.0,3,0.04,1,3.0199757379556176,2019-07-30T22:45:13.534999Z
73,73,18107.948254791652,18107.948254166655,18107.948254317118,18107.94825528934,3,4,70.0,240.0,3,0.04,1,5.181825560760011,2019-07-30T22:45:29.173999Z
74,74,18107.948258680546,18107.948258055545,18107.948258206008,18107.948259166656,3,4,70.0,240.0,3,0.04,1,7.231745916370766,2019-07-30T22:45:29.509999Z
75,75,18107.948270532394,18107.948269687487,18107.948269814802,18107.948271273137,3,4,70.0,240.0,3,0.04,1,5.35353553884116,2019-07-30T22:45:30.533999Z
76,76,18107.948275104154,18107.948274479153,18107.948274629616,18107.948278113414,3,4,70.0,240.0,3,0.04,1,2.724041010299711,2019-07-30T22:45:30.928999Z
77,77,18107.94835581017,18107.948355208322,18107.94835534721,18107.948356331006,3,4,70.0,240.0,3,0.04,1,1.4699222074255407,2019-07-30T22:45:37.901999Z
78,78,18107.94836085647,18107.948360277765,18107.94836040508,18107.94836136573,3,4,70.0,240.0,3,0.04,1,6.145945289541574,2019-07-30T22:45:38.337999Z
79,79,18107.94837270832,18107.948372118044,18107.94837224536,18107.948373449064,3,4,70.0,240.0,3,0.04,1,2.822403269348666,2019-07-30T22:45:39.361999Z
80,80,18107.948388773137,18107.948386307857,18107.9483882986,18107.94839177082,3,4,70.0,240.0,3,0.04,1,0.5359047217149937,2019-07-30T22:45:40.749999Z
81,81,18107.948532303228,18107.94852899304,18107.948529085636,18107.94853054397,3,4,70.0,240.0,3,0.04,1,4.598435610538625,2019-07-30T22:45:53.150999Z
82,82,18107.948532303228,18107.948531747672,18107.94853182869,18107.94853054397,3,4,70.0,240.0,3,0.04,1,4.598435610538625,2019-07-30T22:45:53.150999Z
83,83,18107.94868980323,18107.9486892824,18107.948689340268,18107.948688993045,3,4,70.0,240.0,3,0.04,1,0.7843542208645083,2019-07-30T22:46:06.758999Z
84,84,18107.948716238418,18107.94871273147,18107.94871277777,18107.9487155324,3,4,70.0,240.0,3,0.04,1,0.5002908003351999,2019-07-30T22:46:09.042999Z
85,85,18107.948746851842,18107.948746342583,18107.948746377304,18107.948745219895,3,4,70.0,240.0,3,0.04,1,4.896490214467138,2019-07-30T22:46:11.687999Z
