,h3_h3_dt,h3_h3_depth,id,h3_h4_dt,h3_h4_depth,h3_h5_dt,h3_h5_depth,h3_h6_dt,h3_h6_depth,h4_h3_dt,h4_h3_depth,h4_h4_dt,h4_h4_depth,h4_h5_dt,h4_h5_depth,h4_h6_dt,h4_h6_depth,h5_h3_dt,h5_h3_depth,h5_h4_dt,h5_h4_depth,h5_h5_dt,h5_h5_depth,h5_h6_dt,h5_h6_depth,h6_h3_dt,h6_h3_depth,h6_h4_dt,h6_h4_depth,h6_h5_dt,h6_h5_depth,h6_h6_dt,h6_h6_depth
16,0.0,,16,0.197,377.375,0.0040000000000000036,208.5,0.188,369.5,-0.197,447.375,0.0,,-0.193,106.125,-0.009,267.125,-0.0040000000000000036,348.5,0.193,176.125,0.0,,0.184,506.0,-0.188,579.5,0.009,407.125,-0.184,576.0,0.0,
17,0.0,,17,0.0,205.0,0.11800000000000001,308.25,0.07,266.25,0.0,275.0,0.0,,0.11800000000000001,378.25,0.07,336.25,-0.11800000000000001,448.25,-0.11800000000000001,448.25,0.0,,-0.048,303.0,-0.07,476.25,-0.07,476.25,0.048,373.0,0.0,
18,0.0,,18,-0.03799999999999998,171.75000000000003,-0.062,150.75,0.132,320.5,0.03799999999999998,241.75000000000003,0.0,,-0.02400000000000002,253.99999999999997,0.16999999999999998,423.75,0.062,290.75,0.02400000000000002,324.0,0.0,,0.194,514.75,-0.132,530.5,-0.16999999999999998,563.75,-0.194,584.75,0.0,
19,0.0,,19,0.17800000000000002,360.75,0.196,376.5,-0.0010000000000000009,204.125,-0.17800000000000002,430.75,0.0,,0.018000000000000002,290.75,-0.17900000000000002,118.37499999999997,-0.196,516.5,-0.018000000000000002,360.75,0.0,,-0.197,172.625,0.0010000000000000009,414.125,0.17900000000000002,258.375,0.197,242.625,0.0,
20,0.0,,20,-0.039999999999999994,170.0,-0.082,133.25,0.09799999999999999,290.75,0.039999999999999994,240.0,0.0,,-0.04200000000000001,238.25,0.13799999999999998,395.75,0.082,273.25,0.04200000000000001,308.25,0.0,,0.18,502.5,-0.09799999999999999,500.75,-0.13799999999999998,535.75,-0.18,572.5,0.0,
21,0.0,,21,0.04100000000000001,240.875,0.115,305.625,0.162,346.75,-0.04100000000000001,310.875,0.0,,0.074,339.75,0.121,380.875,-0.115,445.625,-0.074,409.75,0.0,,0.04700000000000001,386.125,-0.162,556.75,-0.121,520.875,-0.04700000000000001,456.125,0.0,
22,0.0,,22,0.047000000000000014,246.125,0.168,352.0,0.14100000000000001,328.375,-0.047000000000000014,316.125,0.0,,0.121,380.875,0.09399999999999999,357.25,-0.168,492.0,-0.121,450.875,0.0,,-0.027000000000000003,321.375,-0.14100000000000001,538.375,-0.09399999999999999,497.25,0.027000000000000003,391.375,0.0,
23,0.0,,23,0.008000000000000007,212.0,0.134,322.25,0.085,279.375,-0.008000000000000007,282.0,0.0,,0.126,385.25,0.077,342.375,-0.134,462.25,-0.126,455.25,0.0,,-0.049,302.125,-0.085,489.375,-0.077,482.375,0.049,372.125,0.0,
24,0.0,,24,0.035,235.625,0.084,278.5,0.15500000000000003,340.625,-0.035,305.625,0.0,,0.049,317.875,0.12000000000000001,380.0,-0.084,418.5,-0.049,387.875,0.0,,0.07100000000000001,407.125,-0.15500000000000003,550.625,-0.12000000000000001,520.0,-0.07100000000000001,477.125,0.0,
25,0.0,,25,0.085,279.375,-0.0010000000000000009,204.125,0.192,373.0,-0.085,349.375,0.0,,-0.08600000000000001,199.75,0.107,368.625,0.0010000000000000009,344.125,0.08600000000000001,269.75,0.0,,0.193,513.875,-0.192,583.0,-0.107,508.625,-0.193,583.875,0.0,
