arrival_hydrophone,init_arrival_time
h3,18107.940723784708
h3,18107.940825416652
h3,18107.94082631943
h3,18107.940830138876
h3,18107.94084467591
h3,18107.940848495356
h3,18107.9412345023
h3,18107.94123833332
h3,18107.942173124986
h3,18107.942300706007
h3,18107.94406790508
h3,18107.944069548597
h3,18107.944071192116
h3,18107.944073263876
h3,18107.944081469894
h3,18107.944083067116
h3,18107.944089814802
h3,18107.944092407393
h3,18107.944456840265
h3,18107.944509131932
h3,18107.94451020832
h3,18107.94451276619
h3,18107.944627152763
h3,18107.944629849524
h3,18107.944760509246
h3,18107.94504302082
h3,18107.945053969896
h3,18107.94507103008
h3,18107.945075393505
h3,18107.94508130786
h3,18107.945742349522
h3,18107.946082233782
h3,18107.94608557869
h3,18107.946089768506
h3,18107.946331516192
h3,18107.946550023134
h3,18107.946550960634
h3,18107.946552384245
h3,18107.946553680544
h3,18107.94655725693
h3,18107.94655876156
h3,18107.946560486096
h3,18107.94656219906
h3,18107.94688751156
h3,18107.946888437487
h3,18107.946889409708
h3,18107.94689116897
h3,18107.946949814803
h3,18107.94695077545
h3,18107.94695228008
h3,18107.946953576375
h3,18107.94695530091
h3,18107.94695696758
h3,18107.947202696745
h3,18107.947203657393
h3,18107.94720631943
h3,18107.94721924767
h3,18107.947351932857
h3,18107.947352835636
h3,18107.94735399304
h3,18107.947355046283
h3,18107.947369826376
h3,18107.9473711111
h3,18107.947372349525
h3,18107.947413148137
h3,18107.94741401619
h3,18107.947421643505
h3,18107.94742265045
h3,18107.947427939802
h3,18107.94743055554
h3,18107.94748052082
h3,18107.94748390045
h3,18107.947493784708
h3,18107.947496249988
h3,18107.947623796284
h3,18107.94762796295
h3,18107.94763208332
h3,18107.94763299767
h3,18107.947633888874
h3,18107.94763554397
h3,18107.94763725693
h3,18107.947638252303
h3,18107.94763913193
h3,18107.94764071758
h3,18107.947650648133
h3,18107.94765156249
h3,18107.947653379615
h3,18107.94765549767
h3,18107.94765665508
h3,18107.94765778934
h3,18107.947660543967
h3,18107.947663009247
h3,18107.947701331006
h3,18107.947702291654
h3,18107.94770498841
h3,18107.94775230323
h3,18107.94775398147
h3,18107.947756365727
h3,18107.947759236096
h3,18107.947760138875
h3,18107.947872060173
h3,18107.9478776736
h3,18107.947885416652
h3,18107.947928935173
h3,18107.947965219893
h4,18107.94801417823
h4,18107.948024583322
h4,18107.948026782396
h4,18107.94802995369
h4,18107.94803435184
h4,18107.94803531249
h4,18107.948036527767
h4,18107.94803739582
h4,18107.948039502302
h4,18107.948073344895
h4,18107.948076111097
h4,18107.948254340266
h4,18107.948256030082
h4,18107.94825824073
h4,18107.948259317116
h4,18107.94826081017
h4,18107.948270104156
h4,18107.948271064804
h4,18107.948272662026
h4,18107.94827466434
h4,18107.948355381934
h4,18107.9483604398
h4,18107.94836153934
h4,18107.948363009247
h4,18107.94837228008
h4,18107.94838833332
h4,18107.94852912036
h4,18107.948532337952
h4,18107.94868937499
h4,18107.94871278934
h4,18107.948747083323
h4,18107.948749618045
h4,18107.948758738414
h4,18107.948768171285
h4,18107.948825312487
h4,18107.94882755786
h4,18107.948850023135
h4,18107.94885701388
h4,18107.948864340266
h4,18107.94886528934
h4,18107.94886722221
