,Unnamed: 0,id,datetime,obs_dt,phone_number,arrival_hydrophone,relative_depth,depth,max_amp,second_hydrophone,t1,t2,origin_time,t,ct
1,1,1,18093.91808261573,2019-07-16T22:02:02.191000Z,3,h3,1.4210854715202004e-14,170.0,0.5877120590329179,h4,0.198,0.238,2019-07-16 22:02:02.191000+00:00,136.0025,136.0025
2,2,2,18093.91832163193,2019-07-16T22:02:22.840000Z,3,h3,1.4210854715202004e-14,170.0,0.8184913253634523,h4,0.198,0.238,2019-07-16 22:02:22.840000+00:00,20.649,156.6515
3,3,3,18093.91833340277,2019-07-16T22:02:23.835000Z,3,h3,1.4210854715202004e-14,170.0,0.3652167178009901,h4,0.2,0.24,2019-07-16 22:02:23.835000+00:00,0.995,157.6465
4,4,4,18093.918813321747,2019-07-16T22:03:05.323000Z,3,h3,1.4210854715202004e-14,170.0,0.5624961853854973,h4,0.2,0.24,2019-07-16 22:03:05.323000+00:00,41.488,199.1345
6,6,6,18093.91994291665,2019-07-16T22:04:43.151000Z,3,h3,56.0,226.0,0.6686186266729217,h4,0.028,0.004,2019-07-16 22:04:43.119000+00:00,0.1285,296.9305
7,7,7,18093.9199495486,2019-07-16T22:04:43.473000Z,3,h3,0.8750000000000213,170.87500000000003,1.0932090850893026,h4,0.198,0.237,2019-07-16 22:04:43.472500+00:00,0.3535,297.284
8,8,8,18093.920546145822,2019-07-16T22:05:35.042000Z,3,h3,0.8750000000000213,170.87500000000003,1.237795468261567,h4,0.2,0.239,2019-07-16 22:05:35.041500+00:00,51.569,348.853
10,10,10,18093.920850300918,2019-07-16T22:06:01.302000Z,3,h3,3.5000000000000213,173.50000000000003,1.3443212043613268,h4,0.2,0.236,2019-07-16 22:06:01.300000+00:00,25.584,375.11150000000004
11,11,11,18093.920853958323,2019-07-16T22:06:01.621000Z,3,h3,4.3749999999999964,174.375,0.7580181294543109,h4,0.198,0.233,2019-07-16 22:06:01.618500+00:00,0.3185,375.43
12,12,12,18093.920864502303,2019-07-16T22:06:02.551000Z,3,h3,3.5000000000000213,173.50000000000003,1.73062473389426,h4,0.2,0.236,2019-07-16 22:06:02.549000+00:00,0.9305,376.3605
273,273,273,18093.920864502303,2019-07-16T22:06:02.587000Z,4,h4,3.4999999999999964,173.5,0.653112929663112,h3,0.2,0.164,2019-07-16 22:06:02.585000+00:00,0.036,376.3965
13,13,13,18093.920886550917,2019-07-16T22:06:04.457000Z,3,h3,4.375000000000021,174.37500000000003,0.5780385693208716,h4,0.2,0.235,2019-07-16 22:06:04.454500+00:00,1.8695,378.266
14,14,14,18093.920912384245,2019-07-16T22:06:07.027000Z,3,h3,3.4999999999999964,173.5,0.6537518873300432,h4,0.198,0.234,2019-07-16 22:06:07.025000+00:00,2.5705,380.8365
