datetime,depth
2019-07-30 22:36:43.757998+00:00,170.0
2019-07-30 22:36:54.780999+00:00,169.125
2019-07-30 22:39:27.466999+00:00,171.75000000000003
2019-07-30 22:39:27.608999+00:00,170.0
2019-07-30 22:39:27.750999+00:00,170.0
2019-07-30 22:39:28.638999+00:00,170.0
2019-07-30 22:39:28.776999+00:00,170.0
2019-07-30 22:39:29.359998+00:00,169.125
2019-07-30 22:39:29.583999+00:00,170.0
2019-07-30 22:40:01.070999+00:00,171.75000000000003
2019-07-30 22:40:05.588998+00:00,170.0
2019-07-30 22:40:05.681999+00:00,170.0
2019-07-30 22:40:15.785999+00:00,167.375
2019-07-30 22:40:16.018999+00:00,170.0
2019-07-30 22:40:27.307999+00:00,162.125
2019-07-30 22:40:51.716999+00:00,170.0
2019-07-30 22:40:52.662999+00:00,168.25
2019-07-30 22:40:54.136999+00:00,170.0
2019-07-30 22:40:55.024999+00:00,170.0
2019-07-30 22:42:21.504999+00:00,170.0
2019-07-30 22:42:21.793999+00:00,170.0
2019-07-30 22:42:22.155999+00:00,170.0
2019-07-30 22:42:43.042999+00:00,162.125
2019-07-30 22:43:01.921998+00:00,170.0
2019-07-30 22:43:02.002999+00:00,171.75
2019-07-30 22:43:02.125999+00:00,180.5
2019-07-30 22:43:02.546999+00:00,171.75000000000003
2019-07-30 22:43:02.676999+00:00,170.875
2019-07-30 22:43:31.080999+00:00,170.0
2019-07-30 22:43:31.160999+00:00,171.75
2019-07-30 22:43:31.244999+00:00,171.75
2019-07-30 22:43:36.463999+00:00,170.0
2019-07-30 22:43:36.546999+00:00,170.0
2019-07-30 22:43:36.788998+00:00,205.875
2019-07-30 22:43:58.312999+00:00,174.375
2019-07-30 22:43:58.395999+00:00,174.375
2019-07-30 22:43:59.742999+00:00,174.375
2019-07-30 22:44:11.206999+00:00,177.0
2019-07-30 22:44:11.284999+00:00,177.0
2019-07-30 22:44:11.384999+00:00,173.5
2019-07-30 22:44:11.475999+00:00,205.0
2019-07-30 22:44:12.752999+00:00,177.875
2019-07-30 22:44:12.863999+00:00,177.875
2019-07-30 22:44:12.970999+00:00,204.125
2019-07-30 22:44:16.495999+00:00,177.0
2019-07-30 22:44:16.570999+00:00,177.0
2019-07-30 22:44:17.229999+00:00,178.75
2019-07-30 22:44:17.316999+00:00,178.75
2019-07-30 22:44:17.773998+00:00,178.75
2019-07-30 22:44:17.999999+00:00,212.875
2019-07-30 22:44:22.316999+00:00,179.625
2019-07-30 22:44:22.608999+00:00,179.625
2019-07-30 22:44:23.462999+00:00,179.625
2019-07-30 22:44:34.695999+00:00,182.25
2019-07-30 22:44:35.055999+00:00,182.25
2019-07-30 22:44:35.411999+00:00,182.25
2019-07-30 22:44:35.490999+00:00,182.25
2019-07-30 22:44:35.567999+00:00,181.375
2019-07-30 22:44:35.710999+00:00,182.25
2019-07-30 22:44:35.858999+00:00,182.25
2019-07-30 22:44:35.944999+00:00,182.25
2019-07-30 22:44:36.020999+00:00,181.375
2019-07-30 22:44:37.015999+00:00,182.25
2019-07-30 22:44:37.094999+00:00,182.25
2019-07-30 22:44:37.434999+00:00,182.25
2019-07-30 22:44:37.534999+00:00,182.25
2019-07-30 22:44:37.870999+00:00,182.25
2019-07-30 22:44:41.394999+00:00,183.125
2019-07-30 22:44:41.477999+00:00,183.125
2019-07-30 22:44:45.798999+00:00,184.875
2019-07-30 22:44:45.943999+00:00,184.875
2019-07-30 22:44:46.149999+00:00,184.0
2019-07-30 22:44:46.397999+00:00,184.0
2019-07-30 22:44:46.475999+00:00,184.0
2019-07-30 22:44:56.145999+00:00,185.75
2019-07-30 22:44:56.630999+00:00,185.75
2019-07-30 22:44:57.299998+00:00,188.375
2019-07-30 22:45:01.059999+00:00,187.5
2019-07-30 22:45:04.194999+00:00,184.0
2019-07-30 22:45:08.424999+00:00,189.25
2019-07-30 22:45:09.323999+00:00,189.25
2019-07-30 22:45:09.513999+00:00,202.375
2019-07-30 22:45:09.787999+00:00,189.25
2019-07-30 22:45:10.167999+00:00,189.25
2019-07-30 22:45:10.250999+00:00,189.25
2019-07-30 22:45:10.355999+00:00,205.0
2019-07-30 22:45:10.430999+00:00,189.25
2019-07-30 22:45:13.536998+00:00,190.125
2019-07-30 22:45:13.775999+00:00,190.125
2019-07-30 22:45:29.174999+00:00,192.75
2019-07-30 22:45:29.320999+00:00,193.625
2019-07-30 22:45:29.511999+00:00,193.625
2019-07-30 22:45:29.604999+00:00,193.625
2019-07-30 22:45:29.733999+00:00,197.125
2019-07-30 22:45:30.537000+00:00,193.625
2019-07-30 22:45:30.619999+00:00,193.625
