arrival_hydrophone,init_arrival_time
h3,18037.318173703705
h3,18037.318188958332
h3,18037.318189872687
h3,18037.318203171297
h3,18037.318205266205
h3,18037.318219224537
h3,18037.318221342593
h3,18037.318222280093
h3,18037.318230497687
h3,18037.318243819445
h3,18037.31824646991
h3,18037.318255046295
h3,18037.318257037037
h3,18037.318262905093
h3,18037.318264247686
h3,18037.318280625
h3,18037.318281932872
h3,18037.318367395834
h3,18037.3183734375
h3,18037.318381990743
h3,18037.318536620372
h3,18037.318552418983
h3,18037.31855386574
h3,18037.318559791667
h3,18037.31856068287
h3,18037.3185621875
h3,18037.31856391204
h3,18037.31857084491
h3,18037.31864363426
h3,18037.318651354166
h3,18037.318652222224
h3,18037.318680243057
h3,18037.318681493056
h3,18037.31869579861
h3,18037.31870068287
h3,18037.31870646991
h3,18037.318711284723
h3,18037.318717766204
h3,18037.318722314816
h3,18037.318725983798
h3,18037.318726921298
h3,18037.318732743057
h3,18037.31873388889
h3,18037.318736273148
h3,18037.318741689814
h3,18037.318743229167
h3,18037.318744224536
h3,18037.318745104167
h3,18037.318750937502
h3,18037.31875189815
h3,18037.318753171297
h3,18037.318754270833
h3,18037.318760729166
h3,18037.31876175926
h3,18037.318762847222
h3,18037.31876662037
h3,18037.318770416667
h3,18037.31877730324
h3,18037.318778321758
h3,18037.31878545139
h3,18037.318786342592
h3,18037.318795011575
h3,18037.318831793982
h3,18037.31883269676
h3,18037.31884653935
h3,18037.31886203704
h3,18037.318869363426
h3,18037.318876076388
h3,18037.31889079861
h3,18037.318897881945
h3,18037.31890462963
h3,18037.318905694447
h3,18037.31891173611
h3,18037.318913171297
h3,18037.318920127316
h3,18037.31892652778
h3,18037.318932766204
h3,18037.31893627315
h3,18037.318942627317
h3,18037.318948784723
h3,18037.318949930555
h3,18037.318952939815
h3,18037.318957592594
h3,18037.318961064815
h3,18037.318966666666
h3,18037.318967627314
h3,18037.318968680556
h3,18037.31897599537
h3,18037.318982997687
h3,18037.319005034722
h3,18037.31901263889
h3,18037.31901365741
h3,18037.319020543982
h3,18037.3190215625
h3,18037.31902787037
h3,18037.31902894676
h3,18037.319269606483
h3,18037.319276689814
h3,18037.319277650462
h3,18037.31927869213
h3,18037.319279583335
h3,18037.319280520835
h3,18037.31928607639
h3,18037.31928724537
h3,18037.319288113427
h3,18037.3192890625
h3,18037.319291446758
h3,18037.319295405094
h3,18037.319296631944
h3,18037.319301840278
h3,18037.31930273148
h3,18037.319304108798
h3,18037.319326018518
h3,18037.319370613426
h3,18037.31937171296
h3,18037.319399131946
h3,18037.319457407408
