Depth,Acq. Time,Pick Time,Flow
m, ,s,Gal./min.
59.0018,07/05/2017 19:02:29,0.55,-1.13853
59.0018,07/05/2017 19:03:14,0.55,-1.13853
59.5023,07/05/2017 19:08:04,4.65,-0.0750678
59.5037,07/05/2017 19:08:50,4.9,-0.0708508
59.5041,07/05/2017 19:09:35,4.35,-0.0808343
59.5044,07/05/2017 19:10:18,4.25,-0.0829563
59.5045,07/05/2017 19:11:04,4.15,-0.0851914
59.5046,07/05/2017 19:11:50,4.1,-0.0863543
59.5046,07/05/2017 19:12:34,4.1,-0.0863543
59.5046,07/05/2017 19:13:17,4.1,-0.0863543
59.5047,07/05/2017 19:14:01,4.1,-0.0863543
59.9985,07/05/2017 19:15:57,37.2,-0.00850906
59.9985,07/05/2017 19:16:50,40.1633,0.00599189
59.9985,07/05/2017 19:17:34,30.35,0.00798734
59.9985,07/05/2017 19:18:34,31.5,0.00768738
79.9947,07/05/2017 22:30:05,25.45,0.00957974
79.9947,07/05/2017 22:30:47,22.4,0.0109364
79.9947,07/05/2017 22:31:33,24.75,0.00986051
79.9949,07/05/2017 22:32:18,25.7,0.00948329
99.9949,07/05/2017 22:23:34,31.95,0.00757604
99.9949,07/05/2017 22:24:17,25.95,0.00938877
99.9949,07/05/2017 22:25:12,27.55,0.00882573
99.995,07/05/2017 22:25:56,25.7,0.00948329
119.997,07/05/2017 22:18:00,22.55,0.0108608
119.997,07/05/2017 22:18:44,21.95,0.0111697
119.997,07/05/2017 22:19:28,27.55,0.00882573
119.997,07/05/2017 22:20:25,21.8,0.0112497
140.002,07/05/2017 22:11:11,38.9281,-0.00812603
140.002,07/05/2017 22:12:35,24.55,0.00994377
140.002,07/05/2017 22:13:18,0.3,-2.96037
140.002,07/05/2017 22:14:02,25.85,0.00942635
160.002,07/05/2017 22:06:22,11.75,-0.0277959
160.002,07/05/2017 22:07:05,21.5,0.0114132
160.002,07/05/2017 22:07:48,0.3,-2.96037
160.002,07/05/2017 22:08:32,23.35,0.0104744
180,07/05/2017 22:00:59,36,0.00670233
180,07/05/2017 22:01:45,24.7833,0.00984679
180,07/05/2017 22:02:33,26.9,0.00904612
180.001,07/05/2017 22:03:17,20.7,0.0118733
200.003,07/05/2017 21:53:00,25.15,0.00969809
200.003,07/05/2017 21:53:46,24.45,0.00998593
200.003,07/05/2017 21:54:32,23.75,0.0102914
200.003,07/05/2017 21:55:18,22.8,0.010737
219.998,07/05/2017 21:44:50,29.8,0.00813922
219.998,07/05/2017 21:45:40,37.9,0.00635829
219.998,07/05/2017 21:47:15,26.4,0.00922329
219.998,07/05/2017 21:48:02,23.9,0.0102244
239.996,07/05/2017 21:37:55,28.2896,0.00858764
239.996,07/05/2017 21:36:54,24.6,0.00992282
239.997,07/05/2017 21:40:24,18.9,0.0130574
239.997,07/05/2017 21:39:26,28.3,0.00858439
259.999,07/05/2017 21:26:37,39.3,0.00612655
260,07/05/2017 21:28:57,23.3489,0.0104749
260,07/05/2017 21:29:46,23.7,0.0103139
280.002,07/05/2017 21:18:56,27.55,0.00882573
280.002,07/05/2017 21:19:41,34.3,0.0070433
280.002,07/05/2017 21:22:03,27.55,0.00882573
280.002,07/05/2017 21:21:10,21.0777,0.0116515
299.999,07/05/2017 21:13:35,21.5957,0.0113605
299.999,07/05/2017 21:12:02,0.3,-2.96037
299.999,07/05/2017 21:12:47,20.1,0.0122435
299.999,07/05/2017 21:14:28,28.3,0.00858439
319.996,07/05/2017 21:05:49,23.85,0.0102466
319.996,07/05/2017 21:06:35,24,0.0101802
319.996,07/05/2017 21:03:34,26.4,-0.012062
319.996,07/05/2017 21:07:22,25.75,0.00946424
339.997,07/05/2017 20:55:19,23.95,0.0102022
339.997,07/05/2017 20:57:37,20.1,0.0122435
339.997,07/05/2017 20:58:27,22.25,0.0110131
339.997,07/05/2017 20:59:13,22.85,0.0107126
349.997,07/05/2017 20:49:00,0.3,-2.96037
349.997,07/05/2017 20:49:44,19.2,-0.0167132
349.997,07/05/2017 20:50:28,23.3,0.0104978
349.997,07/05/2017 20:51:11,11.35,-0.0288212
360.001,07/05/2017 20:44:21,0.3,-2.96037
360.001,07/05/2017 20:45:04,34.05,-0.00930886
360.001,07/05/2017 20:45:49,21.25,0.0115531
360.001,07/05/2017 20:46:32,22.8,0.010737
389.996,07/05/2017 20:36:40,20.1,0.0122435
389.996,07/05/2017 20:38:23,21.95,0.0111697
389.996,07/05/2017 20:39:10,26.25,0.0092778
389.996,07/05/2017 20:35:57,22.5,0.0108859
392.004,07/05/2017 20:27:01,0.3,-2.96037
